"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000100889.12",-5.54240752485572,7.08265319499061,-30.8376226392673,3.56869853922359e-12,6.80622185400723e-08,17.8916796448203
"ENSG00000116761.12",-5.12169855477685,3.97028364555365,-24.8869035659715,3.80028729103748e-11,3.62395396073334e-07,15.7548451265602
"ENSG00000119711.13",-5.11793303606358,6.53238562484,-23.1297452679725,8.49493497951638e-11,3.76967016603343e-07,15.221969329531
"ENSG00000108187.16",-5.53243958496035,5.64188800112903,-22.9886261816735,9.08481604257302e-11,3.76967016603343e-07,15.1101591279437
"ENSG00000183856.11",5.37139477921298,2.05897571367456,22.4893218597626,1.15578040248185e-10,3.76967016603343e-07,14.4459589702212
"ENSG00000155666.12",-4.41195172756981,3.80134510761133,-22.4365400968231,1.18592811431421e-10,3.76967016603343e-07,14.8391630425791
"ENSG00000182551.14",-3.60314286608861,7.69387677583294,-21.9772736277997,1.48745522400868e-10,3.96853778990589e-07,14.729311872492
"ENSG00000138030.13",-5.52206702701608,5.07534886743709,-21.7524627173286,1.66465511321556e-10,3.96853778990589e-07,14.5396406456895
"ENSG00000095203.14",-3.71609316675023,5.30086992003143,-21.3079130853094,2.08651825530188e-10,4.0616859506758e-07,14.432221739183
"ENSG00000213996.13",-6.27050568875991,0.821026490223847,-21.1992717568768,2.20644604543509e-10,4.0616859506758e-07,13.8567236581574
"ENSG00000151726.15",-6.09600423121752,7.65098702754622,-21.0834366539649,2.34262507641746e-10,4.0616859506758e-07,14.2700451063285
"ENSG00000279428.1",-8.45528644343016,-0.797015379961255,-20.6106692175426,3.00117258116282e-10,4.06587673893281e-07,12.6538548567493
"ENSG00000060971.19",-4.01187270716845,6.61050414414415,-20.5913933321092,3.0319871317166e-10,4.06587673893281e-07,14.0882792123424
"ENSG00000137106.18",-3.4624572116664,7.68630514426741,-20.5272217642754,3.13707662809324e-10,4.06587673893281e-07,14.0451034371297
"ENSG00000117724.13",4.86852729541756,3.03011228670394,20.447643300103,3.27293207910951e-10,4.06587673893281e-07,13.7525394599658
"ENSG00000009694.13",-6.54762706293186,0.875748011496535,-20.27328562303,3.59349680730207e-10,4.06587673893281e-07,13.3639869503965
"ENSG00000164406.8",-6.08806832264588,4.3961957052226,-20.1670456011292,3.8054569133321e-10,4.06587673893281e-07,13.742766696699
"ENSG00000184227.8",-4.04388270977121,1.9692022078059,-20.151622340321,3.83734172088877e-10,4.06587673893281e-07,13.604813069611
"ENSG00000042781.14",-6.5986855087012,1.9850183112138,-19.769272081707,4.72841517372347e-10,4.25681453753964e-07,13.3235877578108
"ENSG00000169136.12",-5.36696216376551,7.12461208566193,-19.7466497741604,4.78776858409838e-10,4.25681453753964e-07,13.6232773074296
"ENSG00000131979.20",-3.62841773721025,4.70158306703631,-19.7435552732153,4.7959502985441e-10,4.25681453753964e-07,13.6251574165828
"ENSG00000159200.18",-4.08349384546808,5.54052022456762,-19.7008836116739,4.91033556133977e-10,4.25681453753964e-07,13.6158614472078
"ENSG00000119673.14",-3.56333962818113,4.49648865621005,-19.4472009042461,5.65463360123455e-10,4.68892052359762e-07,13.4837173215245
"ENSG00000139194.8",-5.62625967977277,4.83452156947602,-19.1729026583877,6.59988887237061e-10,5.24471169057718e-07,13.2643020757805
"ENSG00000130222.11",-5.30995403772751,4.86439581965216,-18.8276208827005,8.04163231277942e-10,6.00109020446804e-07,13.0824678860139
"ENSG00000237649.8",4.45220682285357,2.06518315856554,18.7502817187604,8.40945149774925e-10,6.00109020446804e-07,12.8708528247747
"ENSG00000105048.17",7.35614389045436,-0.725281065126863,18.7326845816975,8.49567090607367e-10,6.00109020446804e-07,12.0677009683645
"ENSG00000132386.11",-5.15396419631389,7.52874077622168,-18.6560264645868,8.88263786484738e-10,6.01672354165865e-07,13.0477564450945
"ENSG00000143819.12",-4.27464969255679,8.71174397040388,-18.57248848969,9.32626651984439e-10,6.01672354165865e-07,12.9734473368048
"ENSG00000176974.20",-4.05822471446723,7.24832836478976,-18.3706082704542,1.05009923808718e-09,6.01672354165865e-07,12.8954335742595
"ENSG00000111275.13",-4.76642204661961,8.60531119601945,-18.3203594147705,1.08177597157795e-09,6.01672354165865e-07,12.8267292342008
"ENSG00000159650.9",-8.86471690361433,3.1033801807805,-18.2776424051952,1.10952192493384e-09,6.01672354165865e-07,12.5732965472958
"ENSG00000100162.15",4.58626500193302,0.984417038289642,18.2529632040734,1.12590353915268e-09,6.01672354165865e-07,12.4659033533978
"ENSG00000055957.11",-7.51137275312085,7.89422095147348,-18.2142095086679,1.15216038764505e-09,6.01672354165865e-07,12.763013114406
"ENSG00000127884.5",-3.52966982626867,8.37028082999859,-18.1446148758148,1.20099888304984e-09,6.01672354165865e-07,12.7326712750033
"ENSG00000196177.13",-5.22045745858459,6.82770414583754,-18.0792869579245,1.24889553193075e-09,6.01672354165865e-07,12.7173160799031
"ENSG00000132698.15",5.26624826128939,3.75058238902449,18.06670584911,1.25835587151901e-09,6.01672354165865e-07,12.5796162481281
"ENSG00000113790.11",-5.55460126241414,6.09508498912715,-18.0234880998246,1.29145123362512e-09,6.01672354165865e-07,12.6769391532212
"ENSG00000123453.18",-6.34051541004183,4.95713450425839,-18.0222325386556,1.2924267496301e-09,6.01672354165865e-07,12.6112768319278
"ENSG00000156096.14",-7.90295426747647,5.92199002367021,-18.0012887091816,1.30881781676486e-09,6.01672354165865e-07,12.5877378779023
"ENSG00000237949.2",-7.61607776930756,0.779785576730362,-17.9479739373864,1.3515713727872e-09,6.01672354165865e-07,12.1833370496276
"ENSG00000166347.19",-3.80499224746862,7.5092557843995,-17.9107919159072,1.38228521492834e-09,6.01672354165865e-07,12.6272736786362
"ENSG00000132541.11",-4.71480067619915,6.99662924536584,-17.9057507410129,1.3865074785166e-09,6.01672354165865e-07,12.6225774270253
"ENSG00000169738.8",-5.74865322749151,7.3239025599523,-17.8817621511094,1.40679216862516e-09,6.01672354165865e-07,12.5999456807495
"ENSG00000100714.17",-3.47721661262884,6.57526655283998,-17.824400223009,1.45661678780935e-09,6.01672354165865e-07,12.5902497209603
"ENSG00000169814.16",-2.63916370717644,5.46982839182159,-17.8044871197007,1.4743590201394e-09,6.01672354165865e-07,12.5824445813599
"ENSG00000148773.14",4.34049554234824,3.14961420415374,17.7888580501111,1.48844872528612e-09,6.01672354165865e-07,12.4251223780463
"ENSG00000117305.15",-3.62801958986317,6.56823933556242,-17.7441114746182,1.52960340404913e-09,6.01672354165865e-07,12.5403372626051
"ENSG00000117009.12",-5.52623351008068,2.91584792729983,-17.7068000725106,1.56486557291578e-09,6.01672354165865e-07,12.397712678194
"ENSG00000083807.10",-7.52952577280896,6.01715710369857,-17.6645754727624,1.60583981142886e-09,6.01672354165865e-07,12.417307277464
"ENSG00000164344.16",-6.46625364970206,4.72684887029388,-17.6614504291814,1.60891831283867e-09,6.01672354165865e-07,12.4105216412545
"ENSG00000249096.7",-6.1210239614948,1.96607662042093,-17.608511284587,1.66205528830455e-09,6.09590739587392e-07,12.2215811850552
"ENSG00000172831.14",-4.20675158624971,6.81563378895176,-17.5373510229434,1.73650741002968e-09,6.2036394751079e-07,12.414173937321
"ENSG00000204653.10",-7.64753698141808,3.0311913993408,-17.5188214109868,1.75648349232292e-09,6.2036394751079e-07,12.2367113568452
"ENSG00000214274.10",-5.90792841626999,5.40241829017884,-17.4629800419339,1.81820913171155e-09,6.30488810181865e-07,12.3348290627168
"ENSG00000142494.13",-6.14435571867736,4.36411045007396,-17.2690261289663,2.05160158245474e-09,6.44865750625256e-07,12.1818252401105
"ENSG00000186185.14",5.37569733220551,0.86941432763008,17.2615429932904,2.06123554800447e-09,6.44865750625256e-07,11.8062256444092
"ENSG00000158571.11",-6.503188729476,1.51919856858628,-17.2272268904594,2.10604876540403e-09,6.44865750625256e-07,12.0051320537521
"ENSG00000254211.6",-6.70467869581919,2.5819969692569,-17.2225739350432,2.11220607776298e-09,6.44865750625256e-07,12.0927387631908
"ENSG00000091831.24",-5.6085936370582,2.80199635382353,-17.2178230789263,2.11851312622509e-09,6.44865750625256e-07,12.0837298877164
"ENSG00000117650.13",5.86243965010749,0.66031058319258,17.1815499599881,2.1673477222735e-09,6.44865750625256e-07,11.6726596119614
"ENSG00000171503.12",-3.73714638760236,5.22147080565013,-17.1770784758514,2.17345186288536e-09,6.44865750625256e-07,12.1928486056387
"ENSG00000160870.15",-6.10232232840637,1.26400127896653,-17.1498307696908,2.21105443400414e-09,6.44865750625256e-07,11.8704925674984
"ENSG00000133027.18",-3.64760447225307,4.64504218834179,-17.1457765149216,2.21670955873882e-09,6.44865750625256e-07,12.1709370869657
"ENSG00000101204.18",-7.89625979754212,1.07360132542742,-17.1443995650841,2.21863378613216e-09,6.44865750625256e-07,11.831991098044
"ENSG00000171759.10",-4.97606136204062,8.01126080585087,-17.0875515430144,2.29968226335067e-09,6.44865750625256e-07,12.1302883007221
"ENSG00000116771.6",-4.20698658068192,5.05686285635999,-17.0641815385218,2.33392901159184e-09,6.44865750625256e-07,12.1221500951952
"ENSG00000187193.9",-5.64685040930109,4.68299325608436,-17.0270991078433,2.38941245808143e-09,6.44865750625256e-07,12.0647227105587
