"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000131979.20",-3.63997653779538,4.70158306703631,-21.2155915194957,4.41135696024322e-14,5.29809498153865e-10,22.2800087458833
"ENSG00000182551.14",-3.60079774507871,7.69387677583294,-20.6787930700275,6.84397330152142e-14,5.29809498153865e-10,21.8915409508697
"ENSG00000100889.12",-5.53781874096382,7.08265319499061,-20.4421676456551,8.33383229059142e-14,5.29809498153865e-10,21.6955329166722
"ENSG00000137106.18",-3.45894107911333,7.68630514426741,-19.1405568292248,2.56035349755481e-13,1.00681643837587e-09,20.6630226628452
"ENSG00000108187.16",-5.53378962703493,5.64188800112903,-19.1063274773961,2.63951457208439e-13,1.00681643837587e-09,20.581856411056
"ENSG00000138030.13",-5.54415966381578,5.07534886743709,-18.3193193074708,5.39111358327341e-13,1.45607574793917e-09,19.8592591513453
"ENSG00000095203.14",-3.71593056522747,5.30086992003143,-18.2713790690682,5.63585113850014e-13,1.45607574793917e-09,19.9393561344825
"ENSG00000119711.13",-5.10446741409134,6.53238562484,-18.1848472389409,6.10770028497976e-13,1.45607574793917e-09,19.8452773302165
"ENSG00000176974.20",-4.05862277828879,7.24832836478976,-17.4438475683927,1.23361791697192e-12,2.61417343472095e-09,19.1800806391387
"ENSG00000155666.12",-4.45189141679428,3.80134510761133,-17.1935573750071,1.57375177237924e-12,3.00145938028168e-09,18.7860890229415
"ENSG00000123453.18",-6.41949739429162,4.95713450425839,-16.9803060425378,1.94147351953405e-12,3.36616208768668e-09,18.5864353252526
"ENSG00000147576.17",-4.19869086035038,2.14396443683749,-16.640549030038,2.72616380511503e-12,3.91126563120863e-09,17.9724234265949
"ENSG00000139194.8",-5.66791106128139,4.83452156947602,-16.5023515014134,3.13530881499603e-12,3.91126563120863e-09,18.1790230216971
"ENSG00000109929.10",-4.05704141382689,6.07354293610973,-16.4989939664973,3.14601884195674e-12,3.91126563120863e-09,18.2883630595674
"ENSG00000116761.12",-5.14791720572197,3.97028364555365,-16.4745484852965,3.2251666749305e-12,3.91126563120863e-09,18.096014738051
"ENSG00000204653.10",-7.9001930909993,3.0311913993408,-16.457602030855,3.28126311343006e-12,3.91126563120863e-09,17.6818892951731
"ENSG00000165475.15",-3.79977169020953,5.86198953499928,-16.2171920805045,4.19779586945882e-12,4.67693006038226e-09,18.0098450693816
"ENSG00000121691.7",-4.17195649703706,7.86762726324116,-16.1095230274988,4.6923077640152e-12,4.67693006038226e-09,17.8775212039524
"ENSG00000060971.19",-4.00387113233035,6.61050414414415,-16.0911890841415,4.78244990003777e-12,4.67693006038226e-09,17.8800159418489
"ENSG00000187824.9",-4.65897855361961,4.42474220347026,-16.0669370509336,4.90449880493106e-12,4.67693006038226e-09,17.7780275882784
"ENSG00000181192.12",-3.23744572908992,6.66693448591217,-15.9562655799671,5.5045528406148e-12,4.9991824655336e-09,17.746416271525
"ENSG00000146085.8",-3.21255951086812,6.51603302350098,-15.8991152758821,5.84422697600927e-12,5.06641349483858e-09,17.6891638965569
"ENSG00000143819.12",-4.27783092843581,8.71174397040388,-15.7163778332348,7.08647473523676e-12,5.22396400340509e-09,17.4546013357819
"ENSG00000113790.11",-5.56502916314402,6.09508498912715,-15.6441962449297,7.65116310579799e-12,5.22396400340509e-09,17.4012169101204
"ENSG00000172340.15",-2.75361080301089,6.63552594801736,-15.623838992877,7.81884194372644e-12,5.22396400340509e-09,17.4045314435924
"ENSG00000183549.10",-8.14632313510242,4.04547393661511,-15.5881281700611,8.12239474019519e-12,5.22396400340509e-09,17.0340898088309
"ENSG00000164344.16",-6.59400581479851,4.72684887029388,-15.5783696702896,8.20748468699169e-12,5.22396400340509e-09,17.2106356621275
"ENSG00000214274.10",-6.02116894299889,5.40241829017884,-15.576154145444,8.22693345955576e-12,5.22396400340509e-09,17.2943818732015
"ENSG00000173531.15",-5.21336479703749,5.80817561229969,-15.5733666898229,8.2514717886103e-12,5.22396400340509e-09,17.3306066147246
"ENSG00000166123.14",-3.75675276209428,6.44572205239416,-15.5453255780382,8.50264939639598e-12,5.22396400340509e-09,17.32019416865
"ENSG00000143257.12",-7.05300272183491,2.79918683501237,-15.5091939992629,8.83821714905286e-12,5.22396400340509e-09,16.8613290849976
"ENSG00000130988.13",-5.4791184220351,5.36705249497537,-15.4992472968478,8.93302190608974e-12,5.22396400340509e-09,17.2303536267237
"ENSG00000112118.20",2.32315330410483,5.60335604126973,15.4882643455231,9.03894778273741e-12,5.22396400340509e-09,17.2446433581324
"ENSG00000154262.13",-6.34563931869885,3.97846806119317,-15.3037728539895,1.10303553645668e-11,6.18738051508875e-09,16.8730378939276
"ENSG00000100714.17",-3.47794141915435,6.57526655283998,-15.2160087450924,1.21350717441166e-11,6.34341282099915e-09,16.971630506623
"ENSG00000178301.4",-3.67318776003808,2.09445574193466,-15.1945998815055,1.2421830178366e-11,6.34341282099915e-09,16.625697601711
"ENSG00000119673.14",-3.55923519862996,4.49648865621005,-15.1879355506879,1.25125429795396e-11,6.34341282099915e-09,16.9219760162324
"ENSG00000119471.15",-2.93554043631874,5.98897423215466,-15.1787345793071,1.26389307465377e-11,6.34341282099915e-09,16.9343158783136
"ENSG00000117009.12",-5.60433032681898,2.91584792729983,-15.131239419757,1.33130476915043e-11,6.51042168134283e-09,16.6251300194377
"ENSG00000103150.7",-2.70863912220109,4.46848371801805,-15.101825584436,1.37494098229628e-11,6.54246667126028e-09,16.8414666180849
"ENSG00000004864.14",-2.97596906707266,5.99899785632158,-15.0811804315535,1.40646567492487e-11,6.54246667126028e-09,16.8288594117164
"ENSG00000133027.18",-3.65264769834742,4.64504218834179,-15.0457638582303,1.46233001294391e-11,6.6403709540158e-09,16.7744014294644
"ENSG00000083807.10",-7.57812993202233,6.01715710369857,-14.9943147422827,1.54767806784429e-11,6.86449211858753e-09,16.6529518640315
"ENSG00000142168.15",-3.1656323680093,8.06024758109784,-14.9729391049007,1.58466431438215e-11,6.86879950088553e-09,16.6960547724483
"ENSG00000172831.14",-4.19262832022224,6.81563378895176,-14.8605608505734,1.79501351798528e-11,7.49557604802042e-09,16.58381259536
"ENSG00000127884.5",-3.52392278990286,8.37028082999859,-14.8531838439337,1.80981164098193e-11,7.49557604802042e-09,16.5602697400493
"ENSG00000152078.10",-4.20450407897722,5.91133826626647,-14.7942146744319,1.93281692937145e-11,7.49557604802042e-09,16.5117970847893
"ENSG00000168306.13",-7.15956218938701,4.46509168748283,-14.7792069624394,1.96550512578582e-11,7.49557604802042e-09,16.3344350848358
"ENSG00000127948.16",-2.9765108694224,7.79017542823696,-14.7717069128567,1.98205837115603e-11,7.49557604802042e-09,16.4814648061681
"ENSG00000114200.10",-7.23968108663024,3.95092270835219,-14.7561187339869,2.01693370411789e-11,7.49557604802042e-09,16.261513322041
"ENSG00000169738.8",-5.7326562682574,7.3239025599523,-14.746304103684,2.03922257299311e-11,7.49557604802042e-09,16.4485432314533
"ENSG00000213398.8",-5.00193842114327,5.42491722475432,-14.7443564650669,2.0436763553747e-11,7.49557604802042e-09,16.4445814148703
"ENSG00000137561.5",-5.65671283785024,4.22107205840018,-14.7242078750355,2.09035639276827e-11,7.5221277590333e-09,16.3354611503049
"ENSG00000117305.15",-3.61874291635807,6.56823933556242,-14.6602325394965,2.24615391387067e-11,7.81278669005512e-09,16.3652362635211
"ENSG00000093134.15",-5.04234397908142,1.68664090416205,-14.6452932533881,2.28426499045885e-11,7.81278669005512e-09,15.9418917111339
"ENSG00000179761.12",-7.22422818546068,5.60802919411649,-14.6228355652408,2.34284085371919e-11,7.81278669005512e-09,16.2487573100091
"ENSG00000137714.3",-2.62740965233032,4.77996258569175,-14.6138324373054,2.36676524156356e-11,7.81278669005512e-09,16.3133163227181
"ENSG00000142494.13",-6.25989222648991,4.36411045007396,-14.6104006001632,2.37595232814176e-11,7.81278669005512e-09,16.1997615484029
"ENSG00000165140.11",-5.83067331620468,5.57323152793892,-14.5776853666426,2.46543817744128e-11,7.87516545173309e-09,16.2470862493311
"ENSG00000141338.14",-5.9222763968259,3.16661318263656,-14.5733693166103,2.47750590973147e-11,7.87516545173309e-09,16.0649132260887
"ENSG00000066583.12",-2.63659704863968,5.18475886506869,-14.5375125630307,2.58019640222561e-11,7.99167475314563e-09,16.2292844180914
"ENSG00000160323.19",-3.27917784871472,4.10948719534101,-14.5314609167981,2.59796473728518e-11,7.99167475314563e-09,16.2013078926749
"ENSG00000132541.11",-4.69882053319722,6.99662924536584,-14.4820249971745,2.74802432928956e-11,8.27536947479999e-09,16.162987807177
"ENSG00000112294.14",-3.08810677261647,6.39306647098383,-14.4721183688402,2.77917670588702e-11,8.27536947479999e-09,16.1556535115116
"ENSG00000090512.12",-9.11755381941068,2.7014107554077,-14.4591996917737,2.82035977276635e-11,8.27536947479999e-09,15.5615756675937
"ENSG00000103876.13",-3.81266011262481,6.55144634241123,-14.3801240327142,3.08683942562926e-11,8.92003053418201e-09,16.0511750031198
"ENSG00000196177.13",-5.20041854496596,6.82770414583754,-14.3392495974928,3.23484503601243e-11,8.96690049329108e-09,16.001232928073
"ENSG00000125246.15",-3.22712673663216,3.56742967856559,-14.3336734367736,3.2556074912876e-11,8.96690049329108e-09,15.9530105135583
"ENSG00000106049.9",-2.63311940775524,6.0929520478393,-14.328385309719,3.27542696940191e-11,8.96690049329108e-09,15.9929880642939
"ENSG00000115841.21",-2.84792650771083,2.99219723953159,-14.3138728539344,3.33047317462912e-11,8.96690049329108e-09,15.8836700837579
"ENSG00000171759.10",-4.95452643537151,8.01126080585087,-14.3118717676288,3.33813934051839e-11,8.96690049329108e-09,15.9639811298633
"ENSG00000157379.14",-3.07534435567355,5.7454022122726,-14.2911376180579,3.41867301321691e-11,9.05568495945456e-09,15.9506320309783
"ENSG00000025423.11",-9.92124672710453,4.94769462576228,-14.2705808667039,3.50053701239567e-11,9.1455125890973e-09,15.6704307466558
"ENSG00000145545.12",-2.81269404904779,5.21433390006839,-14.2569085342678,3.55612445763852e-11,9.16518995352457e-09,15.9115929357901
"ENSG00000205707.11",-2.66137992581473,4.38969597715459,-14.2014325195039,3.79137670687948e-11,9.6412182071474e-09,15.8453211289063
"ENSG00000058085.15",5.85570057990314,4.90654918138239,14.1071740889748,4.22938324702349e-11,1.04206994698732e-08,15.5862826788784
"ENSG00000151726.15",-6.06871406224481,7.65098702754622,-14.1057832104706,4.23623128233149e-11,1.04206994698732e-08,15.7294282620742
"ENSG00000158571.11",-6.79461844446872,1.51919856858628,-14.1006065616046,4.26182130164695e-11,1.04206994698732e-08,15.1896732744822
"ENSG00000175003.15",-9.51259417245343,5.24309468791677,-14.0643974903455,4.4454227672068e-11,1.0732038356477e-08,15.5025906772573
"ENSG00000105607.13",-3.10321120390189,5.57378656977778,-14.047976042443,4.53141302823243e-11,1.08028886593061e-08,15.6711963116639
"ENSG00000145703.16",-3.55089572068007,6.30360566442175,-14.020500615869,4.67922069780298e-11,1.09056303093866e-08,15.639628651187
"ENSG00000162365.12",-9.0181725918239,4.02019946532414,-14.018738407655,4.68887209191329e-11,1.09056303093866e-08,15.3753936474778
"ENSG00000170509.12",-9.37132552599836,4.5259929541988,-13.9803352047458,4.90448335871136e-11,1.10606686500577e-08,15.3620165679766
"ENSG00000171503.12",-3.76546091256728,5.22147080565013,-13.97823622751,4.91656431478311e-11,1.10606686500577e-08,15.5904407542115
"ENSG00000250056.8",-8.6476263913429,2.77103797318946,-13.9759923959617,4.92951360767041e-11,1.10606686500577e-08,15.1558396465344
"ENSG00000101856.10",-2.91557669388066,7.68648890578447,-13.9644838061788,4.99649635590256e-11,1.10806021511365e-08,15.573597741819
"ENSG00000023330.15",-3.84065830386866,6.81434706886388,-13.8931143903347,5.43383145291796e-11,1.19119578701208e-08,15.4916520415639
"ENSG00000109758.9",-6.85163790837857,5.12623172475741,-13.8806097943058,5.5145121024767e-11,1.19514516839131e-08,15.4199473249502
"ENSG00000164406.8",-6.14671784112848,4.3961957052226,-13.8323547214483,5.83786022359224e-11,1.2463378031472e-08,15.3529774999051
"ENSG00000135373.13",4.55299830845824,4.90369457711986,13.8260699435807,5.88141790495216e-11,1.2463378031472e-08,15.3377074434842
"ENSG00000152620.13",-4.02315342150534,6.46096559569925,-13.8010482070233,6.05825224529487e-11,1.26970315189301e-08,15.3838039061499
"ENSG00000130222.11",-5.36498256938045,4.86439581965216,-13.7723979795318,6.26761547856918e-11,1.29930393920947e-08,15.3314854008617
"ENSG00000133835.17",-2.84567987808387,7.26383919632098,-13.7528448296677,6.41485838225268e-11,1.31061517511301e-08,15.3273014274774
"ENSG00000169814.16",-2.63982868936585,5.46982839182159,-13.7444386744825,6.47927362355007e-11,1.31061517511301e-08,15.3151339876679
"ENSG00000109511.12",-7.48189136784868,1.96192338364006,-13.7380946711739,6.5283369146254e-11,1.31061517511301e-08,14.8611659016368
"ENSG00000170293.9",-2.81899987413478,3.43777898776551,-13.7238732267162,6.63974735065799e-11,1.31909647366405e-08,15.2640571054971
"ENSG00000176422.14",-2.96587891423415,5.18988736304726,-13.7039362044325,6.79930986932157e-11,1.33687049306908e-08,15.2685653979395
"ENSG00000103569.10",-8.41803172442362,5.14699992140202,-13.6946855761136,6.87470996723683e-11,1.33790273974633e-08,15.1472851205571
"ENSG00000088926.14",-6.02688711769878,3.92306150097773,-13.6747943643517,7.03983201078111e-11,1.35619874858199e-08,15.1479451181475
"ENSG00000112337.10",-6.22653463276248,2.95663672205966,-13.6519366476435,7.23474085163576e-11,1.37980977522397e-08,15.0368624448466
"ENSG00000111275.13",-4.7161823283098,8.60531119601945,-13.6420932021329,7.32041619427785e-11,1.38232651145809e-08,15.1894039707766
"ENSG00000132855.5",-8.88904038134963,4.94414550011603,-13.5932025384475,7.7620393506047e-11,1.45101229451619e-08,14.996537427706
"ENSG00000126106.14",-2.26262059238243,4.19380485990421,-13.5852673544372,7.83631849492277e-11,1.45101229451619e-08,15.1288661319424
"ENSG00000167701.14",-4.85398153371457,4.93753451176688,-13.5244357493071,8.43116880382056e-11,1.53807513962956e-08,15.051034554082
"ENSG00000151552.12",-3.38028330730458,6.09119673979565,-13.5208383801625,8.46780042266695e-11,1.53807513962956e-08,15.0499287976169
"ENSG00000135094.11",-7.80965422421619,5.93178550064776,-13.4983428372495,8.70069671136658e-11,1.56546875169041e-08,14.9874464253206
"ENSG00000159650.9",-9.17389331653074,3.1033801807805,-13.4825146718614,8.86859440418374e-11,1.58076478950086e-08,14.6470768938928
"ENSG00000287928.1",-7.73345797957206,-2.60665191240822,-13.4674235197566,9.0318474233174e-11,1.59495735238435e-08,12.1240029358839
"ENSG00000100024.15",-9.59562614944662,3.79880989320877,-13.4212549206196,9.55119593100659e-11,1.65980518987916e-08,14.6558395703033
"ENSG00000111058.8",-4.95297590329734,4.23644536889459,-13.4193642778913,9.57312137619062e-11,1.65980518987916e-08,14.9059353332118
"ENSG00000240935.6",-9.24114771739436,-0.846287371680795,-13.4004815157692,9.79502626620751e-11,1.68297964819018e-08,12.8842431409174
"ENSG00000152782.16",-3.56715936645403,5.1307677228678,-13.382192125838,1.00151165383469e-10,1.70543127338707e-08,14.8856529993992
"ENSG00000151631.8",-7.02758408844881,-0.0262539050009578,-13.3586006166508,1.03067142438306e-10,1.73955446069324e-08,13.7621114146163
"ENSG00000169083.18",-6.57787102654439,4.21132720596068,-13.3391980357313,1.05532197007063e-10,1.75999762260126e-08,14.7616759028977
"ENSG00000231487.1",-6.74522158229679,-3.74194481561862,-13.3346106773341,1.06124017721867e-10,1.75999762260126e-08,11.6579979472901
"ENSG00000144852.19",-7.89763908665708,2.74454871016606,-13.3159672408759,1.08565360164057e-10,1.78496426642147e-08,14.5279795259908
"ENSG00000007933.13",-7.48476545504974,6.00382389178613,-13.2848376421147,1.12774205285171e-10,1.83831593435793e-08,14.7457566719897
